state,county,date,fips,cases,deaths
alabama,autauga,2020-03-27,1001.0,6,0
alabama,baldwin,2020-03-27,1003.0,5,0
alabama,blount,2020-03-27,1009.0,5,0
alabama,bullock,2020-03-27,1011.0,2,0
alabama,butler,2020-03-27,1013.0,1,0
alabama,calhoun,2020-03-27,1015.0,3,0
alabama,chambers,2020-03-27,1017.0,15,0
alabama,cherokee,2020-03-27,1019.0,1,0
alabama,chilton,2020-03-27,1021.0,7,0
alabama,choctaw,2020-03-27,1023.0,1,0
alabama,clay,2020-03-27,1027.0,1,0
alabama,cleburne,2020-03-27,1029.0,3,0
alabama,colbert,2020-03-27,1033.0,1,0
alabama,coosa,2020-03-27,1037.0,2,0
alabama,covington,2020-03-27,1039.0,2,0
alabama,crenshaw,2020-03-27,1041.0,1,0
alabama,cullman,2020-03-27,1043.0,7,0
alabama,dallas,2020-03-27,1047.0,2,0
alabama,dekalb,2020-03-27,1049.0,4,0
alabama,elmore,2020-03-27,1051.0,12,0
alabama,escambia,2020-03-27,1053.0,1,0
alabama,etowah,2020-03-27,1055.0,5,0
alabama,franklin,2020-03-27,1059.0,3,0
alabama,greene,2020-03-27,1063.0,1,0
alabama,houston,2020-03-27,1069.0,4,0
alabama,jackson,2020-03-27,1071.0,5,1
alabama,jefferson,2020-03-27,1073.0,179,0
alabama,lamar,2020-03-27,1075.0,1,0
alabama,lauderdale,2020-03-27,1077.0,11,1
alabama,lawrence,2020-03-27,1079.0,3,0
alabama,lee,2020-03-27,1081.0,53,0
alabama,limestone,2020-03-27,1083.0,16,0
alabama,lowndes,2020-03-27,1085.0,1,0
alabama,madison,2020-03-27,1089.0,61,1
alabama,marengo,2020-03-27,1091.0,2,0
alabama,marion,2020-03-27,1093.0,7,0
alabama,marshall,2020-03-27,1095.0,4,0
alabama,mobile,2020-03-27,1097.0,23,1
alabama,montgomery,2020-03-27,1101.0,18,0
alabama,morgan,2020-03-27,1103.0,13,0
alabama,pickens,2020-03-27,1107.0,1,0
alabama,pike,2020-03-27,1109.0,4,0
alabama,randolph,2020-03-27,1111.0,1,0
alabama,russell,2020-03-27,1113.0,1,0
alabama,shelby,2020-03-27,1117.0,70,0
alabama,st. clair,2020-03-27,1115.0,9,0
alabama,talladega,2020-03-27,1121.0,4,0
alabama,tallapoosa,2020-03-27,1123.0,5,0
alabama,tuscaloosa,2020-03-27,1125.0,22,0
alabama,walker,2020-03-27,1127.0,24,0
alabama,washington,2020-03-27,1129.0,2,0
alabama,wilcox,2020-03-27,1131.0,2,0
alabama,winston,2020-03-27,1133.0,2,0
alaska,anchorage,2020-03-27,2020.0,43,1
alaska,fairbanks north star borough,2020-03-27,2090.0,19,0
alaska,juneau city and borough,2020-03-27,2110.0,4,0
alaska,kenai peninsula borough,2020-03-27,2122.0,5,0
alaska,ketchikan gateway borough,2020-03-27,2130.0,12,0
alaska,matanuska-susitna borough,2020-03-27,2170.0,2,0
